2024/08/31 22:35:15 | 200 |   0.06ms |     [::1]:52164 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.02ms |     [::1]:52169 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.04ms |     [::1]:52168 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.07ms |     [::1]:52167 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.06ms |     [::1]:52166 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52214 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52219 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.10ms |     [::1]:52165 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52213 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52218 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52212 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52217 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52211 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52216 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52210 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52215 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52209 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52208 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52252 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52250 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52207 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52249 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52206 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52248 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.07ms |     [::1]:52251 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52247 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52264 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52246 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52244 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52263 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52243 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52262 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52242 | GET /api/cache
